,시나리오 넘버,대사 넘버,배경,캐릭터,표정,대사,번역,,,INDEX,,CODE
,9,1,꿈의 세계 월드맵,누리,슬픔,"세상에, 무슨 일이야?!",Oh my god! what happened?!,,,NOORI_SAD,,"SET_INFO(SpeechPopupType::NOORI_SAD, _MSG(idx++));"
,9,2,꿈의 세계 월드맵,즈믄,보통,어서 지부장님을 모셔올게!,I'll call the manager!,,,ZUMUN_NORMAL,,"SET_INFO(SpeechPopupType::ZUMUN_NORMAL, _MSG(idx++));"
,9,3,꿈의 세계 월드맵,주인공,,"고대신룡을 보자마자 눈치 빠른 즈믄이 저 멀리 사라진다.\n누리는 어쩔 줄 몰라하며 고대신룡을 살펴보고 있었고, 렉스톤은 감격에 겨워하고 있었다.","Zimon went away and Nuri was looking at God dragon in dismay, and Rexton was overwhelmed with emotion.",,,ME,,"SET_INFO(SpeechPopupType::ME, _MSG(idx++));"
,9,4,꿈의 세계 월드맵,렉스톤,,드디어! 드디어 고향에 돌아왔다!,Finally! I'm home!,,,REXTON_CHO,,"SET_INFO(SpeechPopupType::REXTON_CHO, _MSG(idx++));"
,9,5,꿈의 세계 월드맵,주인공,,전초기지에 도착하자마자 고함을 지르는 렉스톤의 모습에 누리가 눈살을 찌푸렸다.,Nuri raised her eyebrows at Rexton shouted as soon as reached base camp.,,,ME,,"SET_INFO(SpeechPopupType::ME, _MSG(idx++));"
,9,6,꿈의 세계 월드맵,누리,화남,누구야 저 드래곤은? 왜 갑자기 고함을 지르고 그래?,Who's that dragon? Why it makes a noise?,,,NOORI_ANGRY,,"SET_INFO(SpeechPopupType::NOORI_ANGRY, _MSG(idx++));"
,9,7,꿈의 세계 월드맵,주인공,,렉스톤이라고 하는 드래곤이야. 아르하에서 G스컬을 만났을 때 도와줬지.\n덕분에 겨우 목숨만 부지해서 돌아왔어.,"It is a dragon named Rexton. He helped me when I met G-skull in Archa.\nThanks to him, I came back alive.",,,ME,,"SET_INFO(SpeechPopupType::ME, _MSG(idx++));"
,9,8,꿈의 세계 월드맵,누리,화남,G스컬이라고? 그녀석이 왜 또 나타난거야? 에스텔라에서 사라진 거 아니었어?,G-skull? Why? I though it disappeared in Estella.,,,NOORI_ANGRY,,"SET_INFO(SpeechPopupType::NOORI_ANGRY, _MSG(idx++));"
,9,9,꿈의 세계 월드맵,주인공,,카데스 때문에 겨우 살아났다고 하던데 글쎄...... 어쨌든 중요한 건 아니야!\n빨리 치료제를 가져와줘!,"He said he survived because of Kades. Well ... it doesn't matter anyway!, bring me a cure! Hurry!",,,ME,,"SET_INFO(SpeechPopupType::ME, _MSG(idx++));"
,9,10,꿈의 세계 월드맵,누리,보통,조금만 기다려. 이제 곧 즈믄이 지부장님을 모셔올거야.,Wait for a moment. Zimon will be picking the manager up soon.,,,NOORI_NORMAL,,"SET_INFO(SpeechPopupType::NOORI_NORMAL, _MSG(idx++));"
,9,11,꿈의 세계 월드맵,주인공,,그순간 고대신룡의 들썩이던 호흡이 완전히 멈췄다.\n이게 도대체 무슨 일이지? 난 정신을 차리지 못하고 고대신룡의 몸을 마구 흔들었다.,"At that moment, God dragon stopped its breath.\nWhat the hell is going on? I shook his body.",,,ME,,"SET_INFO(SpeechPopupType::ME, _MSG(idx++));"
,9,12,꿈의 세계 월드맵,주인공,,그때 지부장님의 목소리가 들렸다. 고대신룡의 상태를 파악한건지 목소리가 떨리고 있었다.,I could hear manager's confused voice. Her voice was shaking as if she understood the state of God dragon.,,,ME,,"SET_INFO(SpeechPopupType::ME, _MSG(idx++));"
,9,13,꿈의 세계 월드맵,지부장,분노,어떻게 된거죠?,What happened to him?,,,MANAGER_NORMAL,,"SET_INFO(SpeechPopupType::MANAGER_NORMAL, _MSG(idx++));"
,9,14,꿈의 세계 월드맵,주인공,,고대신룡이 숨을 쉬지 않아요! 피를 너무 많이 흘렸어요!,He doesn't breathe! And bleeding too much!,,,ME,,"SET_INFO(SpeechPopupType::ME, _MSG(idx++));"
,9,15,꿈의 세계 월드맵,지부장,분노,"그럴 수가...... 먼저 치료를 서두르죠. (주인공), 상처를 치료하기 위해 치료제를 강화해야 합니다.\n페르시온 부스러기를 좀 모아주세요. 서둘러요!","My god... Let's cure him. (주인공), medicine needs to be strengthened to treat him.\nPlease collect the persion debris. Hurry up!",,,MANAGER_NORMAL,,"SET_INFO(SpeechPopupType::MANAGER_NORMAL, _MSG_WITH_NICK(idx++));"
,,,,퀘스트,14,페르시온 부스러기를 모아서 전초기지로 돌아가자. (0/30)\n(30개 미만시 심해 전투 지역들에 퀘스트 표시/완료시 아르하 입구 퀘스트 표시),Collect persion debris and go back to base camp. (0/30),,,FALSE,,
,10,1,꿈의 세계 월드맵,주인공,,"고대신룡의 상처 주변에 치료제가 투입되었고, 무섭게 흐르던 피도 모두 멎었다.\n하지만 고대신룡의 호흡은 돌아오지 않았다. 심지어 상처가 다시 벌어지며 피가 또다시 쏟아졌다.","The medicine was injected into his wound, and the blood stopped bleeding.\nHowever, the breath of God dragon was not returned. The wound even opened up again and poured blood again.",,,ME,,"SET_INFO(SpeechPopupType::ME, _MSG(idx++));"
,10,2,꿈의 세계 월드맵,지부장,슬픔,어떻게 된 거죠? 치료제가 통하지 않아요!,Why? The medicine is not working!,,,MANAGER_SAD,,"SET_INFO(SpeechPopupType::MANAGER_SAD, _MSG(idx++));"
,10,3,꿈의 세계 월드맵,즈믄,슬픔,피가 너무 많이 흘러나와! 이대로는 위험해!,He lost so much blood! It's dangerous as it is!,,,ZUMUN_SAD,,"SET_INFO(SpeechPopupType::ZUMUN_SAD, _MSG(idx++));"
,10,4,꿈의 세계 월드맵,누리,슬픔,어떡하지? 어떡해? 디트 아저씨라도 모셔올까?,What shall we do? Should I bring Deet?,,,NOORI_SAD,,"SET_INFO(SpeechPopupType::NOORI_SAD, _MSG(idx++));"
,10,5,꿈의 세계 월드맵,주인공,,마공학자인 디트가 이걸 어떻게 할 수 있을거라고는 생각이 들지 않는다.\n어떻게 해야 하지? 이대로는 고대신룡이 죽어버린다!,"I don't think Deet can do anything about it.\nWhat do I have to do? As it is, God dragon die!",,,ME,,"SET_INFO(SpeechPopupType::ME, _MSG(idx++));"
,10,6,꿈의 세계 월드맵,렉스톤,,"으악, 피범벅이잖아!",Ouch! What's going on here?! It's blood!,,,REXTON_CHO,,"SET_INFO(SpeechPopupType::REXTON_CHO, _MSG(idx++));"
,10,7,꿈의 세계 월드맵,주인공,,"고향의 감회가 끝난 렉스톤이 이제야 이쪽 사정을 안 모양이다.\n깜짝 놀란 표정에, 유달리 호들갑스러운 목소리였다.","I think Rexton knows the circumstances now.\nIt was a startled look, and a particularly dramatic voice.",,,ME,,"SET_INFO(SpeechPopupType::ME, _MSG(idx++));"
,10,8,꿈의 세계 월드맵,렉스톤,,이 바보들아! 아르하의 기운이 스며든 상처에 유타칸의 치료제를 사용해봐야 소용없지!\n거기 가방에 매달린 기계에 있는 아르하의 기운을 사용해!,You fools! It's no use using Yutakan's medicine for the infected wound!\nUse the force of Archa from the machine hanging from the bag!,,,REXTON_CHO,,"SET_INFO(SpeechPopupType::REXTON_CHO, _MSG(idx++));"
,10,9,꿈의 세계 월드맵,주인공,,"잠깐만, 지금 이게 무슨 소리지? 렉스톤이 뭔가 결정적인 걸 말한 것 같은데.","Wait a minute, I think Rexton meant something important.",,,ME,,"SET_INFO(SpeechPopupType::ME, _MSG(idx++));"
,10,10,꿈의 세계 월드맵,주인공,,내가 정신을 못차리는 사이 지부장님이 재빨리 내 가방에 있던 아르하의 기운 추적 장치를 가져갔다.,"While I was unconscious, manager quickly took the tracking device from my bag.",,,ME,,"SET_INFO(SpeechPopupType::ME, _MSG(idx++));"
,10,11,꿈의 세계 월드맵,지부장,화남,어떻게 하면 되는거죠!,Now what?!,,,MANAGER_ANGRY,,"SET_INFO(SpeechPopupType::MANAGER_ANGRY, _MSG(idx++));"
,10,12,꿈의 세계 월드맵,렉스톤,,"아르하의 기운에 치료제를 담궈!\n아니, 주사로군. 주사기 안에 아르하의 기운을 섞어!","Soak medicine in the force of Archa!\nNope, it's a syringe. Mix the force with solution!",,,REXTON_CHO,,"SET_INFO(SpeechPopupType::REXTON_CHO, _MSG(idx++));"
,10,13,꿈의 세계 월드맵,주인공,,지부장님은 번개같은 손놀림으로 아르하의 기운을 주입한 치료제를 고대신룡의 상처 부위에 주사했다.,The manager injected the mixed medicine into God dragon's wound.,,,ME,,"SET_INFO(SpeechPopupType::ME, _MSG(idx++));"
,10,14,꿈의 세계 월드맵,주인공,,"그러자 상처가 아물며 피는 멈췄지만, 여전히 고대신룡은 숨을 쉬지 않았다.","As a result, the wound healed up and stopped bleeding, but God dragon still did not breathe.",,,ME,,"SET_INFO(SpeechPopupType::ME, _MSG(idx++));"
,10,15,꿈의 세계 월드맵,렉스톤,,"안돼, 치료되지 않았어. 이걸로는 안된다.",It's not enough. We need to do something more.,,,REXTON_CHO,,"SET_INFO(SpeechPopupType::REXTON_CHO, _MSG(idx++));"
,10,16,꿈의 세계 월드맵,주인공,,그게 무슨 말이지?,What do you mean?,,,ME,,"SET_INFO(SpeechPopupType::ME, _MSG(idx++));"
,10,17,꿈의 세계 월드맵,렉스톤,,"아직 완전히 낫지 않았다. 그저 상처를 틀어막았을 뿐, 시간이 지나면 상처가 또 벌어질거다.\n조금만 기다려 봐라.","He is not quite well yet. It will just stop the wound, and it will open up again over time. Hold on a minute.",,,REXTON_CHO,,"SET_INFO(SpeechPopupType::REXTON_CHO, _MSG(idx++));"
,,,,퀘스트,15,고대신룡의 상처를 살펴보자.\n(아르하의 입구에 퀘스트 표시),Take a look at God dragon.,,,FALSE,,
,11,1,꿈의 세계 월드맵,주인공,,렉스톤의 말은 정말이었다. 시간이 지나자 살얼음에 금이 가듯 고대신룡의 피부가 갈라지기 시작한 것이다.\n그리고 슬금슬금 베어나오던 피는 다시금 쏟아져 나왔다.,"Rexton was right. After a while God dragon's skin began to crack.\nAnd blood started pouring back from the stalks.",,,ME,,"SET_INFO(SpeechPopupType::ME, _MSG(idx++));"
,11,2,꿈의 세계 월드맵,지부장,화남,이런!,No!!,,,MANAGER_ANGRY,,"SET_INFO(SpeechPopupType::MANAGER_ANGRY, _MSG(idx++));"
