,시나리오 넘버,대사 넘버,배경,캐릭터,표정,대사,번역
,20,1,꿈의 세계 월드맵,누리,슬픔,"빨리, 빨리 나가자!","Come on, let's go!"
,20,2,꿈의 세계 월드맵,주인공,,"비공정이 전초기지에 도착하자마자, 누리는 울상을 지으며 뛰쳐내려갔다.","As soon as the ship arrived at the base camp, Nuri ran away with a weeping eyes."
,20,3,꿈의 세계 월드맵,드래곤 슬레이어,,너도...... 본 기억이 있는데.,You too. I remember seeing you.
,20,4,꿈의 세계 월드맵,즈믄,슬픔,"으아악! 잘, 잘못 보셨어요!",Aargh! You got it wrong!
,20,5,꿈의 세계 월드맵,주인공,,드래곤 슬레이어는 도망치는 즈믄을 보고 낄낄거렸다. 이런 걸 좋아하는 성격이었나.\n그사이 지부장님은 고대신룡의 상태를 확인하고 있었다.,"Dragon slayer chuckled when it saw Zimon running away. Did it like this kind of stuff?\nIn the meantime, manager was checking on the condition of God dragon."
,20,6,꿈의 세계 월드맵,지부장,보통,고대신룡의 상태는 어떻죠?,How is God dragon doing?
,20,7,꿈의 세계 월드맵,디트,보통,상태가 더 나빠지진 않지만 치료제가 떨어져 가니 원.\n이대로는 며칠 더 못버티겠어.,"The condition does not get any worse, but there are not enough medicine.\nHe can't stand it for a few more days. "
,20,8,꿈의 세계 월드맵,지부장,보통,급하군요. 서두릅시다.,Let's hurry.
,20,9,꿈의 세계 월드맵,주인공,,그때 비공정에서 내리는 우리를 렉스톤이 보고 인사를 하려다......,"When Rexton saw us getting off the ship, he tried to say hello....."
,20,10,꿈의 세계 월드맵,렉스톤,,드래곤 슬레이어잖아?! 뭐야 저놈 왜 데려온거야!,It's Dragon slayer! What? Why did you bring it?
,20,11,꿈의 세계 월드맵,주인공,,"그래, 저런 반응이 나올 줄 알았다.","Yes, I knew there would be such a reaction."
,20,12,꿈의 세계 월드맵,지부장,보통,"아, 렉스톤. 잘됐군요. 지금 즉시 아르하로 출발해주세요.\n드래곤 슬레이어도 함께합니다.","Oh, Rexton. That's great. Please leave to Archa immediately.\nDragon Slayer is with us."
,20,13,꿈의 세계 월드맵,렉스톤,,뭐야?! 저번에 말했던거 진짜였어?!,What?! Was it real?!
,20,14,꿈의 세계 월드맵,지부장,보통,괜찮습니다. 몇가지 약속한 게 있어서 우리에게 위해를 끼치진 않을겁니다.,"That's all right. I have a few promises, so it won't hurt us."
,20,15,꿈의 세계 월드맵,드래곤 슬레이어,,거기에 이녀석도 포함되는건가? 아닌 것 같은데.,Does that include him? I don't think so.
,20,16,꿈의 세계 월드맵,렉스톤,,뭐? 덤빌테면 덤벼 보던가!,"What? Come on, come on!"
,20,17,꿈의 세계 월드맵,주인공,,"이런, 둘 사이의 분위기가 심상치 않다.\n이런 곳에서 싸움이 벌어진다면 큰 피해가 일어날지도 모른다.","Well, They seem to be fighting.\nFighting in these places could cause serious damage."
,20,18,꿈의 세계 월드맵,지부장,분노,시간 없으니 그만 하세요! 빨리 출발해야 합니다!,"I don't have time, so stop it! We must leave!"
,20,19,꿈의 세계 월드맵,주인공,,짜증 섞인 지부장님의 말에 드래곤 슬레이어는 콧방귀를 끼며 느릿느릿 움직였다.\n묘하게 순종적인 것이 좀 이상하다.,Dragon slayer sniffed at the irritated head of the division.\nIt is a bit odd that it is being strangely obedient. 
,20,20,꿈의 세계 월드맵,주인공,,"그때, 드래곤 슬레이어가 쓰러진 고대신룡을 발견했다.","Then, Dragon slayer found the God dragon collapsed."
,20,21,꿈의 세계 월드맵,드래곤 슬레이어,,"큭큭큭, 걸레짝이 됐구나. 보기만 해도 기분이 좋군.\n지금이라면 손가락만 까닥해도......",What a mess. It makes me feel good just to look at it.\nI can handle it easily now....
,20,22,꿈의 세계 월드맵,주인공,,기다려! 고대신룡에겐 손을 대지 않기로 했을 텐데!,Stop! You promised not to!
,20,23,꿈의 세계 월드맵,드래곤 슬레이어,,당연하지. 지금 저런 널부러진 반송장은 죽여도 개운치가 않다.,"Of course. I don't feel comfortable killing that mess, now."
,20,24,꿈의 세계 월드맵,주인공,,입맛을 다시며 드래곤 슬레이어가 멀어졌다.\n다행히 '지금'은 약속을 지킬 생각이 있는 모양이다.,"Dragon slayer felt sorry for itself and disappeared.\nFortunately, it seems ready to keep its word now."
,20,25,꿈의 세계 월드맵,드래곤 슬레이어,,살려서 죽여주마. 조금만 기다려라.,I'll kill you alive. Wait a minute.
,20,26,꿈의 세계 월드맵,주인공,,"저 소름돋는 말만 하지 않았다면......\n왜 꼭 한마디가 많을까 하는 의문과 함께, 우린 아르하로 향했다.","If only I hadn't said those creepy things ......\nWith questions about why there must be so many grumble, we headed to Archa."
,,,,퀘스트,25,빛의 봉인지의 몬스터 퇴치(0/10)\n(빛의 봉인지에 퀘스트 표시),Defeat monsters in land of light (0/10)
,21,1,빛의 봉인지,드래곤 슬레이어,,이런 같잖은 놈들에게 쩔쩔매고 있던거냐?,Have you been struggling with these kinds of crap?
,21,2,빛의 봉인지,주인공,,인정할건 인정하자. 확실히 드래곤 슬레이어는 막강했다.\n심지어 아르하의 기운에도 아무런 영향을 받지 않았다.,"Let's face it. Certainly Dragon slayer was powerful.\nIt wasn't even affected by the energy of Archa."
,21,3,빛의 봉인지,렉스톤,,(괜찮은데 저놈. 쓸만해.),"(That is not bad, I think that's available.)"
,21,4,빛의 봉인지,주인공,,(쉿! 들리면 어쩌려고!),(Shh! Dragon Slayer can hear that)
,21,5,빛의 봉인지,드래곤 슬레이어,,뭘 속닥거리는거냐. 빨리 그 수호룡인지 뭔지 하는 놈들 낯짝이나 불러내봐.,What are you whispering about? Hurry up and call out the guardian something.
,21,6,빛의 봉인지,렉스톤,,"아, 크흠. 그렇군. 이제 코앞이다. 저 탑 안에 봉인되어 있다.","Oh, ha, ha. Right. It's just around the corner. It is sealed in that tower."
,21,7,빛의 봉인지,주인공,,렉스톤의 뒤를 따라 탑 안으로 들어갔다.\n그곳에는 커다란 드래곤의 석상이 하나 있었다.,"We followed Rexton into the tower.\nThere was a huge dragon statue there."
,21,8,빛의 봉인지,렉스톤,,빛의 수호룡인 '솔라'다. 수호룡의 수장이기도 하지.\n아르하에서 가장 밝은 빛을 낼 수 있는 드래곤이다.,"It is the solar, which is the guadian dragon of light. He is also the head of guardian dragon.
\nIt is the most luminous dragon in Archa."
,21,9,빛의 봉인지,드래곤 슬레이어,,그럼 이제 봉인은 어떻게 풀어야 하지? 이걸 부수면 되는거냐?,So how do we break the seal? Do I break this?
,21,10,빛의 봉인지,렉스톤,,섣불리 손대지 마라! 석상은 수호룡의 영혼을 담고 있다!,Don't be so careless! The stone statue contains the soul of guardian dragon!
,21,11,빛의 봉인지,드래곤 슬레이어,,"오, 그래? 걱정마라. 금방 부술 수 있으니.","Oh, really? Don't sweat it. I can break easily."
,21,12,빛의 봉인지,주인공,,렉스톤이 드래곤 슬레이어를 말리는 그순간이었다.\n탑의 안쪽에서 이상한 기운이 느껴졌다.,It was the moment that Rexton dried Dragon slayer.\nThere was a strange energy coming from the inside of the tower.
,21,13,빛의 봉인지,렉스톤,,"헬카이저는 수호룡을 봉인하고 자신의 그림자로 봉인지를 지키게 했지.\n즉, 그림자가 열쇠다. 저 녀석을 물리치면 자연스럽게 봉인이 풀린다.","I think he was sealed off with the memory of the fight with the Hell kaiser.\nThat is, shadows are the keys. If you beat that, the seal is naturally broken."
,21,14,빛의 봉인지,???,,크아아아아!,Kraaaaaaak!
,21,15,빛의 봉인지,주인공,,어두운 그림자가 크게 포효했다. 고작 그림자였지만 심상치 않은 힘이 느껴졌다.\n하지만 우리 쪽에도 만만치 않은 드래곤이 하나 있었으니.,"The dark shadows roared loudly. It was just a shadow, but there was something extraordinary about it. But we also had a tough dragon."
