,시나리오 넘버,대사 넘버,배경,캐릭터,표정,대사,번역,,
,42,1,아르하 월드맵,솔라,,증명의 탑이란 곳이 있다. 이름 그대로 수호룡의 힘을 증명하는 곳이지.\n그곳이 헬카이저의 근거지다.,"There is a place, called ""Tower of proof"". As its name suggests, it proves the power of guardian dagon.\nIt is the base of Hell kaiser.",,
,42,2,아르하 월드맵,솔라,,그곳은 올라가는 자의 기억 속에 있는 상대를 불러내 전투를 시작한다.\n그 상대와 싸워 이겨야만 다음 층으로 올라갈 수 있지.,"The tower calls up the enemy in the memory of the visitor who is going up and begins to fight.\nYou have to fight your enemy to get to the next floor.",,
,42,3,아르하 월드맵,솔라,,"허상이고 환영이지만, 고통은 진짜다.\n그 탑의 꼭대기에 헬카이저가 있다. 단단히 각오하고 들어서야 할거다.","It is an illusion, but the pain is real.\nThere is Hell kaiser on the top of the tower. You'll have to be ready.",,
,42,4,아르하 월드맵,주인공,,비장한 말과 함께 탑으로 향하는 솔라를 제피로스가 한숨을 쉬며 멈춰세웠다.,Zephyros  sighed and stopped Solar.,Zephyros ,
,42,5,아르하 월드맵,제피로스,,기다려. 잠깐만. 준비를 해야될거 아냐.,Hang on. Hold on a minute. You'll have to get ready.,,
,42,6,아르하 월드맵,솔라,,앗 그렇군!,"Oh, that's right.",,
,42,7,아르하 월드맵,주인공,,준비는 이미 됐습니다! 드래곤도 건강하고 아이템도......,We're ready! Dragon is good and item is ...,,
,42,8,아르하 월드맵,제피로스,,마음가짐을 말하는게 아냐. 증명의 탑은 가혹하고 고된 탑이지.\n그래서 이를 위한 특별한 아이템을 준비해야 제대로 도전할 수 있어.,"I don't mean them. The tower of proof is a harsh and arduous tower.\nSo you have to prepare a special item to challenge.",,
,42,9,아르하 월드맵,포폰,,맞아. 아르하에 있는 각 지역...... 이제는 봉인지가 되어버린 그곳을 가야 해.\n각 봉인지마다 얻을 수 있는 아이템이 있어.,Right. Every area in Archa ...... You should visit there.\nThere are items available in each area.,,
,42,10,아르하 월드맵,포폰,,그 아이템을 활용하지 않고는 증명의 탑을 오르기는 불가능에 가깝지.,It's almost impossible to climb the tower of proof without that item.,,
,42,11,아르하 월드맵,솔라,,이른바 증명의 탑 전용 아이템이라고 할 수 있지.\n유타칸은 물론 이곳 아르하에서도 증명의 탑 외에는 사용할 수 없다!,"It is a so-called ""tower of proof "" exclusive item.\nThe item is available in the tower only, ",,
,42,12,아르하 월드맵,주인공,,거기서 솔라는 눈을 빛내며 말했다.,"Solar was there, making his eyes shining.",,
,42,13,아르하 월드맵,솔라,,"너희 유타칸과 유사한 아이템들이다. 젬, 장신구 등등. 대신 더 강력하지.\n단점이라면 증명의 탑을 포기하는 순간 모두 사라져버린다는 것 정도군.","Items similar to your Yutakan. Gems, accessorries and so on. More powerful instead.
\nThe downside is that when you give up the tower of proof, it disappears altogether.",,
,42,14,아르하 월드맵,주인공,,어? 그렇게 사라져버리면 그다지 쓸모가 없는게......,Huh? It wouldn't be of much use if it disappeared like that ......,,
,42,15,아르하 월드맵,솔라,,"그래, 일회성 아이템들이지. 심지어 가져갈 수 있는 수량 제한도 있다.\n다시 말하자면 그정도 제약이 걸릴 정도로 강력한 아이템이다.","Yeah, one time items. There is even a limit that can be taken.\nIn other words, it is such a powerful item.",,
,42,16,아르하 월드맵,솔라,,맞아. 먼저 준비를 해야지. 마음이 성급했군. 일단 내가 전략을 짜보마.\n잠깐만 기다리고 있어. 금방 다 된다.,"Right. We should get ready first. You were hasty. I'll plan strategy first.\nHold on a minute, it'll be ready in a minute.",,
,42,17,아르하 월드맵,주인공,,그리고 솔라는 뭔가를 땅바닥에 적어가며 계산을 시작했다.\n포폰과 제피로스는 한숨을 푹 내쉬었다.,Solar began to count by writing something on the ground.\nPopon and Zephyros sighed deeply.,,
,42,18,아르하 월드맵,제피로스,,조금만 기다려라. 솔라가 필요한 아이템과 수량을 적어줄거다.\n정확한 수치일테니 그대로만 하면 돼.,"Wait a minute. Solar will write down the items you need.\nIt'll be a precise number, so you just have to do it.",,
,42,19,아르하 월드맵,주인공,,그대로만 따라가면 헬카이저를 만날 수 있는건가요?,"If I follow it like that, can I meet Hell kaiser?",,
,42,20,아르하 월드맵,포폰,,"물론 너도 열심히 해야 돼. 증명의 탑은 재도전이 없어.\n단 30마리의 드래곤으로 도전하고, 포기하거나 전멸하면 처음부터야.","Of course, you have to work hard. There's no re-try at the tower.\nChallenge with only 30 dragons, give up or lose, you'll go back to the beginning.",,
,42,21,아르하 월드맵,주인공,,처음부터요?! 아까 들은 얘기로는 아이템도 모두 사라진다고......,"Back to the beginning? As far as I've heard, all the items are gone ......",,
