,시나리오 넘버,대사 넘버,배경,캐릭터,표정,대사,번역,
,63,1,꿈의 세계,렉스톤,변신,너희들 이거 납치야! 노동력 착취다! 거기 드래곤 테이머 협회 사람! 드래곤이 학대당한다! 도와줘!,You just kidnapped me! Labor exploitation! Hey you! From the Tamer Association there! Dragon is being abused! Help me!,
,63,2,꿈의 세계,주인공,,렉스톤의 처절한 절규가 이어졌지만 '드래곤 테이머 협회 사람'인 지부장님은 담담하게 말을 이어갔다.,"Rexton's desperate scream continued, but the manager, a member of the Dragon Tamer Association, continued to talk calmly.",
,63,3,꿈의 세계,지부장,보통,결국 아무런 단서도 없었던 건가요.,So you didn't find any clue.,
,63,4,꿈의 세계,포폰,,"어, 응...... 열심히 찾아봤는데도 아무것도 없었어.","Oh, yeah.......but I searched hard and found nothing.",
,63,5,꿈의 세계,누리,슬픔,어떡하지? 이대로는 정말 드래곤 슬레이어한테 물어보는 수밖에 없는거 아니야?,What should we do? Do we really have to ask Dragon slayer?,
,63,6,꿈의 세계,지부장,보통,지금 당장 시도하기에는 인력이나 자원 요소가 큽니다. 심지어 불확실하구요.,We don't have enough people or resources to try right now. It's even unclear.,
,63,7,꿈의 세계,주인공,,벌떡 일어났던 솔라가 다시 조용히 자리에 앉았다.,"Solar, who had jumped to his feet, sat quietly again.",
,63,8,꿈의 세계,지부장,보통,일단 아르하의 여신이란 존재가 있단 것은 확실합니다. 그리고 그녀를 찾으면 이 싸움에 새로운 희망이 생기겠죠.,"It's clear that there is a goddess of Archa. So if you find her, there will be new hope for this fight.",
,63,9,꿈의 세계,지부장,보통,여신도 그것을 알고 있기에 드래곤 슬레이어와 고대신룡에게 힘을 줬습니다. 자신의 존재가 드러나는 위험을 감수하고 도움을 준거죠.,"Since goddess knew it, she gave power to Dragon slayer and God Dragon. She took the risk of showing her identity and helped them.",
,63,10,꿈의 세계,즈믄,보통,그런데도 못찾았다는 건 혹시 카데스의 부하들이 여신을 다시 잡아가거나...... 헤친 건 아닐까요?,But we still couldn't find her by any chance Kades's men took the goddess back... or hurt her?,Zimon 이름 비정상
