구분,시나리오 넘버,대사 넘버,배경,캐릭터 한글,캐릭터 영문,표정,대사 한글,대사 영문,연출 종류,사운드
,10,1,던전 지역 배경,,,0,고룡의 무덤에서 어떠한 것도 찾을 수 없었다.,We couldn't find anything at Bone Yard.,,
,10,2,던전 지역 배경,누리,Nuri,3,검은로브랑 고대드래곤이 없네?,There's no black robe or ancient dragon.,,
,10,3,던전 지역 배경,즈믄,Zimon,6,방심하지마. 어딘가에서 갑자기 나타날수도 있어.,Stay focused. They could show up.,,
,10,4,던전 지역 배경,주인공,Player,0,혹시 모르니까 설치 못한 센서장치를 설치하자.,Let's install the sensor just in case.,,
,11,1,던전 지역 배경,,,0,고룡의 무덤에 센서 장치를 설치하고 작동시켰다.,We installed and activated the sensor.,,
,11,2,던전 지역 배경,누리,Nuri,2,음…..,Um...,,
,11,3,던전 지역 배경,주인공,Player,0,무슨 일 있어?,Is there something wrong?,,
,11,4,던전 지역 배경,누리,Nuri,2,문득 든 생각인데 검은로브의 사도들은 제사를 지내거나 의식을 치른다고 했잖아?,"I just thought, pristess said that black robes hold rituals, right?",,
,11,5,던전 지역 배경,주인공,Player,0,"맞아, 그랬지.","Yeah, that's what they said.",,
,11,6,던전 지역 배경,누리,Nuri,2,그러면 이쪽이 아니라 제단이 있는 곳 부터 찾아보는건 어때?,"Then why don't we look for the altar first, not hear?",,
,11,7,던전 지역 배경,즈믄,Zimon,6,에엑? 말도 안돼…,Huh? That's ridiculous.,,
,11,8,던전 지역 배경,누리,Nuri,2,응? 뭐가 말이 안되는거야?,What? What's ridiculous?,,
,11,9,던전 지역 배경,즈믄,Zimon,6,"아니, 너의 머리에서 어떻게 그런 생각을..",How could you think of that in your head?,,
,11,10,던전 지역 배경,즈믄,Zimon,7,누리 너도 점점 성장을 하는구나!,"Nuri, you're growing up!",,
,11,11,던전 지역 배경,누리,Nuri,4,이 성장판 닫힌 드래곤이 뭐라는거야!,"What are you talking about, you cheeky little dragon?",,
,11,12,던전 지역 배경,,,0,갑자기 투닥거리며 싸우는 누리와 즈믄.,Nuri and Zimon suddenly quarreling.,,
,11,13,던전 지역 배경,,,0,고대 드래곤이 보이지 않자 누리의 긴장이 풀린 것 같다.,Nuri seems to have relaxed because the ancient dragon didn't show up.,,
