TID,KR,EN,CN,JP,PLD,TW,IND
abnormalDragonsRemoved,비정상적인 드래곤 데이터가 삭제되었습니다.\n장착된 젬은 가방으로 회수됩니다.,Abnormal dragon data has been removed.\nGems will be added back to the Bag in Cave.,異常的神龍資料已被刪除。\n已鑲嵌的寶石將會被退回到背包裡。,非正常的なドラゴンデータが削除されました。\n装着されたGEMはかばんに回収されます。,"Nieprawidłowe dane smoka zostały usunięte.\nDiamenty zostaną dodane z powrotem do Torby, która znajduje się w Jaskinii.",異常的神龍資料已被刪除。\n已鑲嵌的寶石將會被退回到背包裡。,Data naga yang tidak normal telah dihapus.\nGem akan ditambahkan kembali ke bag di dalam Gua.
accept,수락하기,Accept,確認,承知する,Zaakceptuj,確認,Terima
accFullCommentMsg,탈 부착 아이템의 보유 갯수가\n최대 수치(%d)에 도달 했습니다.\n사용하지 않는 아이템은 상점에 판매해 주시기 바랍니다.,Item reached max amount(%d)\nPlease sell unused items at the shop.,你保留的物品數已達到\n上限（100）。\n請您把不再使用的物品出售。,Item reached max amount(100)\nPlease sell unused items at the shop.,Posiadasz maksymalną liczbę przedmiotów (100)\nSprzedaj nieużywane przedmioty w sklepie.,你保留的物品數已達到\n上限（100）。\n請您把不再使用的物品出售。,Item mencapai jumlah max(100)\nMohon menjual item tidak terpakai pada shop.
accItemSellMsg,<lightbrown>%s</lightbrown> 아이템을 <lightbrown>%d골드에</lightbrown> 판매하시겠습니까?,Sell <lightbrown>%s</lightbrown> item with <lightbrown>%d gold</lightbrown>?,您要把<lightbrown>%s</lightbrown> 物品以<lightbrown>%d金幣</lightbrown> 出售嗎？,Sell <lightbrown>%s</lightbrown> item with <lightbrown>%d gold</lightbrown>?,Sprzedać <lightbrown>%s</lightbrown> za <lightbrown>%d gold</lightbrown>?,您要把<lightbrown>%s</lightbrown> 物品以<lightbrown>%d金幣</lightbrown> 出售嗎？,Jual <lightbrown>%s</lightbrown> item dengan <lightbrown>%d gold</lightbrown>?
accPlus,%s +%.1f%%,%s +%.1f%%,%s +%.1f%%,%s +%.1f%%,%s +%.1f%%,%s +%.1f%%,%s +%.1f%%
add,요청하기,Add,請求,要請する,Dodaj,請求,Tambah
addDragon,용 보유 수 추가,Have More Dragon,提升可保留神龍數量的上限,龍の保有数追加,Pozyskaj więcej smoków,提升可保留神龍數量的上限,Menambah Naga Lagi
adventureComment1,행운의 부적,Talisman,幸運符咒,,,幸運符咒,
adventureComment2,행운의 부적 아이템을 착용하여,Dragon has cured by Talisman,使用幸運符咒,,,使用幸運符咒,
adventureComment3,,,您的神龍陷入行動不能狀態。,,,您的神龍陷入行動不能狀態。,
