,시나리오 넘버,대사 넘버,배경,캐릭터,표정,대사,번역
,1,1,컷신1,주인공,,싸움이 시작한지 얼마나 긴 시간이 흘렀을까.\n오늘도 힘겹게 유타칸을 침공하는 아르하의 괴물들을 막아냈다.,"How long has it been since the fight started?\nToday, we struggled again to intercept the monsters of Archa."
,1,2,컷신1,주인공,,끝이 보이지 않는 싸움에 사람들과 드래곤들은 점점 지쳐가고 있었다.,People and dragon were beginning to tire about this endless fight.
,1,3,컷신1,주인공,,결국 부상자는 점점 늘어갔고 어쩌면 방어를 실패할지도 모르겠단 생각이 부쩍 들었다.,The injured was increasing and it occurred to me that we might fail to defend.
,1,4,컷신1,주인공,,그것이 요 최근의 생각이었다.\n그래서 지부장님의 충격적인 한마디는 생각보다 더 충격적이었다.,"That was my latest feeling.\nSo the manager's shocking comment was more shocking than I thought."
,1,5,꿈의 세계 월드맵,지부장,보통,아르하 공격을 감행합니다.,We will attack Archa.
,1,6,꿈의 세계 월드맵,주인공,,처음엔 환청인 줄로만 알았다. 고개를 푹 숙인 내게 지부장님이 다시 말했다.,"At first, I thought it is an auditation. But the manager told me again."
,1,7,꿈의 세계 월드맵,지부장,보통,농담이 아닙니다. 언제까지 이 침공을 버틸 수는 없습니다. 적의 근거지를 공격해 그 뿌리를 뽑아야 합니다.,"It is not a joke, we can't endure the invasion forever. We have to find the base and eliminate it."
,1,8,꿈의 세계 월드맵,주인공,,하지만 적의 근거지는 저 거대한 문 너머의 다른 세계일텐데 어떻게 찾아가죠?,But enemy's base is in other dimension over that huge gate. How can we find it?
,1,9,꿈의 세계 월드맵,지부장,보통,처음 다크베인이 말했죠. 당신에게 있던 크레바스의 기운을 추적했다고.\n이번엔 반대입니다. 우리가 아르하의 기운을 역추적해 아르하로 쳐들어갑니다.,"Dark Vein told us. It traced the force of Crevasse you have.\nBut not now, we will trace the force of Archa and strike back."
,1,10,꿈의 세계 월드맵,누리,웃음,그거 희소식이네요! 드디어 이 끝도 없는 싸움을 멈출 수 있겠군요!,That sounds good! Maybe we can finish this fight!
