,시나리오 넘버,대사 넘버,배경,캐릭터,표정,대사,번역,,,
,36,1,물의 봉인지,주인공,,헬카이저는 드래곤 슬레이어의 기습을 여유롭게 받아넘겼다.\n그리고 치명적인 반격을 가했는데...... 별로 치명적이지 않아보였다.,Hell kaiser was comfortable in the face of Dragon slayer's surprise attack.\nAnd then he made a deadly counterattack ... It didn't look so critical.,,,
,36,2,물의 봉인지,드래곤 슬레이어,,꽤나 하는 놈인데.,He's a pretty good,,,
,36,3,물의 봉인지,헬카이저,,제법 튼튼하군. 이걸 버텨내다니.,You are quite strong. I can't believe you bore this.,,,
,36,4,물의 봉인지,주인공,,강한 놈이야! 힙을 합쳐서 좀 더 전략적으로 싸워야 해!,He's a tough! We should fight more strategically together!,,,
,36,5,물의 봉인지,드래곤 슬레이어,,필요 없다! 이 놈만 쓰러뜨리면 다 끝나는데 뭘 어물거려!,No! It's all over when I knock him out!,,,
,,,,퀘스트,41,헬카이저를 무찌르자\n(물의 봉인지에 퀘스트 표시)\n(전투 승리),Defeat Hell kaiser.,,,
,37,1,물의 봉인지,주인공,,놀라운 일이 벌어졌다!\n드래곤 슬레이어의 일격에 헬카이저가 큰 상처를 입은 것이다!,What a surprise!\nThe blow from Dragon slayer hurt Hell kaiser badly! ,,,
,37,2,물의 봉인지,헬카이저,,"큭큭큭, 역시 드래곤 슬레이어군. 제대로 만들어졌구나.","Dragon slayer, you are made correctly.",,,
,37,3,물의 봉인지,이블 던,,헬카이저님!,Hell kaiser!,,,
,37,4,물의 봉인지,드래곤 슬레이어,,잔챙이는 저리 꺼져라!\n거들먹거리지 말고 똑바로 싸우지 못해?,Get away\nDon't you dare fight straight?,,,
,37,5,물의 봉인지,헬카이저,,복수의 힘이냐? 그토록 복수가 하고 싶었던거냐?,Is it revenge? Is that what you wanted to do?,,,
,37,6,물의 봉인지,드래곤 슬레이어,,아무렴 내가 가만히 있을 것 같으냐.\n이 복수는 나만의 것이다! 고대신룡은 내 손에 죽으리라!,Do you think I'll stand still anyway?\nThis revenge is mine! God dragon will die in my hands!,,,
,37,7,물의 봉인지,헬카이저,,멍청한 녀석 같으니.\n빛에 무시당하고 어둠에 배신당한 멍청하기 짝이 없는 놈.,You stupid.\nThe dumb one who was ignored by the light and betrayed by the darkness.,,,
,37,8,물의 봉인지,주인공,,드래곤 슬레이어의 낌새가 변했다. 분명 전에 이걸 느낀 적 있었다.\n이성을 잃고 미친듯이 날뛰던 바로 그때였다.,Dragon Slayer's mood has changed. I've certainly felt this before.\nIt was just when it lost its head and went crazy.,,,
,37,9,물의 봉인지,헬카이저,,고대신룡을 죽이는게 복수라고?\n왜 지금 하지 않는거냐! 저기 저렇게 나자빠져있는 반송장을!,"Killing God dragon is revenge?\nWhy don't you do it now? Over there!",,,
,37,10,물의 봉인지,드래곤 슬레이어,,닥쳐라!,Shut up!,,,
,37,11,물의 봉인지,헬카이저,,인간에게 꼬드김이나 당한 멍청한 놈 같으니.\n빛과 어둠이 널 버린 이유가 이런거라는 걸 왜 모르냐!,"You stupid beaten up by humans.\nWhy don't you know this is why light and darkness have deserted you?",,,
,37,12,물의 봉인지,드래곤 슬레이어,,크아아아아!,Kraaaaaak!,,,
,37,13,물의 봉인지,주인공,,기다려! 정신 차려 드래곤 슬레이어!,"Wait! Wake up, Dragon Slayer!",,,
,37,14,물의 봉인지,렉스톤,,안돼! 저렇게 무모하게 덤벼선 이길 수 없어!,No! We can't win if we take it so recklessly!,,,
,,,,퀘스트,42,헬카이저를 무찌르자\n(물의 봉인지에 퀘스트 표시)\n(이벤트 전투 패배),Defeat Hell kaiser.,,,
,38,1,물의 봉인지,솔라,,크헉!,Oops!,Hell kaiser,Revenant,Zephyros 
,38,2,물의 봉인지,주인공,,"이블 던과 레버넌트까지 합세한 결과, 우린 처참히 패배했다.\n헬카이저는 쓰러진 우린 거들떠보지도 않고 고대신룡에게 향했다.","Result of Evil Dawn and Revenant joined, we were beaten.\nHell kaiser headed for God dragon without even giving a look at us after we collapsed.",,,
,38,3,물의 봉인지,헬카이저,,이것이 고대신룡인가.,This... is God dragon.,,,
,38,4,물의 봉인지,주인공,,큭...... 고대신룡에게 손대지 마라!,Don't touch him!,,,
,38,5,물의 봉인지,헬카이저,,그러면 정말 놔 줄거라고 믿고 하는 말인가? 재미있는 인간이군.,Do you really think I'll do it?? You are a funny human being.,,,
,38,6,물의 봉인지,주인공,,내 외침에도 아랑곳 않고 헬카이저는 하늘로 날아올랐다.\n치료제를 맞지 못해 온 몸에 피를 흘리는 고대신룡을 데리고.,"Despite my yelling, Hell kaiser flew up into the sky.\nWith God dragon that is bleeding all over his body.",,,
,38,7,물의 봉인지,헬카이저,,일단 먼저 '저것'부터 어떻게 해야 하지 않을까?\n뭐 내 알 바는 아니지만. 큭큭큭.,"What shouldn't you do first with that?\nWell, it's none of my business. ",,,
