,시나리오 넘버,대사 넘버,배경,캐릭터,표정,대사,번역,,
,68,1,꿈의 세계,주인공,,꿈의 세계로 오는 중에도 세 수호룡과 렉스톤은 아무 말이 없었다. 나도 고대신룡도 아무것도 묻지 않았다.,"While on our way to the world of dreams, the three guardians and Rexton remained silent. Neither I nor the God dragon asked.",,
,68,2,꿈의 세계,주인공,,하지만 지부장님은 달랐다. 당장 세 수호룡을 불러서 사태의 전모를 파악하기 시작했다.,But the manager was different. She immediately called in the guardians and began to grasp the full picture of the situation.,,
,68,3,꿈의 세계,지부장,보통,나머지 수호룡의 등장이군요.,This is the appearance of the rest of the guardians.,,
,68,4,꿈의 세계,솔라,,"이제야 모든게 떠오른다. 블리자드, 이그나, 다크나이트. 우리까지 합쳐 모두 6마리의 수호룡이 있었지.","Now it all comes to mind. Blizzard, Igna, Dark knight. We all had six guardians.","Blizzard, Igna, Dark knight",
,68,5,꿈의 세계,지부장,보통,그리고 그들은 아스타로트를 지키고 있었구요.,"And now, they protect Astaroth.",,
,68,6,꿈의 세계,주인공,,"다음 순간, 제피로스의 한마디는 우릴 경악시키기에 충분했다.","The next moment, one word from Zephyros was enough to shock us.",,
,68,7,꿈의 세계,제피로스,,아스타로트가 아니야. 그분의 원래 이름은 시렐라. 쉴라 여신님의 동생 분이시다.,She is not Astaroth. Her original name was Sirella. She is the sister of the goddess Shilla.,Sirella,
,68,8,꿈의 세계,누리,슬픔,네?!,What?!,,
,68,9,꿈의 세계,즈믄,보통,말도 안돼......,No way...,,
,68,10,꿈의 세계,포폰,,정말이야. 왜 저렇게 파랗게 되셨는지는 모르겠지만...... 저 얼굴은 분명 사랑과 자애의 여신인 시렐라 여신님이 맞아.,"It's true. I don't know what happened to her... But she is really a goddess of love and affection, Sirella.",,
,68,11,꿈의 세계,주인공,,옆에 있던 고대신룡이 입을 쩍 벌렸다.,God dragon next to him opened his mouth in surprise.,,
,68,12,꿈의 세계,지부장,화남,사랑과 자애라......,Love and affection...,,
,68,13,꿈의 세계,렉스톤,변신,그 시퍼런 여자...... 가 아니라 여신님이? 진짜야? 도저히 그렇게 보이진 않던데.,That blue woman... Is she the goddess? Really? She doesn't look like that at all.,,
,68,14,꿈의 세계,솔라,,당연히 원래는 그런 모습이 아니셨지. 렉스톤 넌 만난 적 없을거다. 게다가 네가 오고 얼마 지나지 않아 실종되버리셨으니......,"Of course she wasn't what she was. I don't think you've met her, Rexton. And she disappeared shortly after you...",,
,68,15,꿈의 세계,주인공,,실종이라니 그게 무슨 말이죠? 내 물음에 솔라가 침통한 표정으로 대답했다.,What do you mean missing? Solar answered my question with a sad look.,,
,68,16,꿈의 세계,솔라,,"전쟁 초, 다크베인의 갑작스런 기습으로 두 여신님은 떨어지게 되었다. 하지만 포기하지 않고 각기 카데스의 군단과 싸우고 있었어.","At the beginning of the war, the sudden attack of the Dark Vein separated the two goddesses. But they didn't give up and fighting against Kades's legions.",,
,68,17,꿈의 세계,제피로스,,"그리고 그 두 분 사이의 연락책은 내가 맡고 있었지. 하지만 어느 날, 약속된 장소로 이동했지만 시렐라 여신님의 사자는 오지 않았어. 그게 마지막이었다.","And I was a messenger between them. But one day, I moved to the appointed place, but the goddess's contact didn't come. That was the last.",,
,68,18,꿈의 세계,포폰,,"결국 쉴라 여신님의 명령으로 시렐라 여신님을 찾기 위한 수색대가 출동했지. 그때 수색대를 맡고 있던 수호룡이 블리자드, 이그나, 다크나이트였어......","The goddess Shilla orders sent out a search party for the goddess Sirella. The guardians, who was in charge of the team at the time, was Blizzard, Igna, the Dark knight...",,
