구분,시나리오 넘버,대사 넘버,배경,캐릭터 한글,캐릭터 영문,캐릭터 번자,표정,대사 한글,대사 영문,대사 번자,연출 종류,사운드
,1,1,컷신1,주인공,Player,Player,,싸움이 시작한지 얼마나 긴 시간이 흘렀을까.\n오늘도 힘겹게 유타칸을 침공하는 아르하의 괴물들을 막아냈다.,"How long has it been since the fight started?\nToday, we struggled again to intercept the monsters of Archa.",不知戰鬥開始幾天了，\n今天，我再次艱難地阻擋了侵略尤塔勘的阿爾哈怪物們。,,
,1,2,컷신1,주인공,Player,Player,,끝이 보이지 않는 싸움에 사람들과 드래곤들은 점점 지쳐가고 있었다.,People and dragon were beginning to tire about this endless fight.,在這場看不見盡頭的戰鬥中，人類和龍們逐漸感到疲憊不堪。,,
,1,3,컷신1,주인공,Player,Player,,결국 부상자는 점점 늘어갔고 어쩌면 방어를 실패할지도 모르겠단 생각이 부쩍 들었다.,The injured was increasing and it occurred to me that we might fail to defend.,因為傷者逐漸增加，心中不禁浮現出或許會失敗防守的想法。,,
,1,4,컷신1,주인공,Player,Player,,그것이 요 최근의 생각이었다.\n그래서 지부장님의 충격적인 한마디는 생각보다 더 충격적이었다.,That was my latest feeling.\nSo the manager's shocking comment was more shocking than I thought.,這是最近的想法。 \n因此，支部長那句震撼的話，比我想像的還要更具衝擊力。,,
,1,5,꿈의 세계 월드맵,지부장,Ellis Finnell,艾莉絲·皮內爾,보통,아르하 공격을 감행합니다.,We will attack Archa.,我們將發動對阿爾哈的攻擊。,,
,1,6,꿈의 세계 월드맵,주인공,Player,Player,,처음엔 환청인 줄로만 알았다. 고개를 푹 숙인 내게 지부장님이 다시 말했다.,"At first, I thought it is an auditation. But the manager told me again.",一開始我以為是我幻聽。支部長看著低著頭的我，並說到。,,
,1,7,꿈의 세계 월드맵,지부장,Ellis Finnell,艾莉絲·皮內爾,보통,농담이 아닙니다. 언제까지 이 침공을 버틸 수는 없습니다. 적의 근거지를 공격해 그 뿌리를 뽑아야 합니다.,"It is not a joke, we can't endure the invasion forever. We have to find the base and eliminate it.",這不是玩笑。我們不可能一直忍受這場侵略。必須攻擊敵人的據點，拔除其根源。,,
,1,8,꿈의 세계 월드맵,주인공,Player,Player,,하지만 적의 근거지는 저 거대한 문 너머의 다른 세계일텐데 어떻게 찾아가죠?,But enemy's base is in other dimension over that huge gate. How can we find it?,但是，敵人的據點應該在那扇巨大的門背後的另一個世界，我們該怎麼找到那裡呢？,,
,1,9,꿈의 세계 월드맵,지부장,Ellis Finnell,艾莉絲·皮內爾,보통,처음 다크베인이 말했죠. 당신에게 있던 크레바스의 기운을 추적했다고.\n이번엔 반대입니다. 우리가 아르하의 기운을 역추적해 아르하로 쳐들어갑니다.,"Dark Vein told us. It traced the force of Crevasse you have.\nBut not now, we will trace the force of Archa and strike back.",黑暗貝恩一開始曾說過，他追蹤了你身上的裂谷之氣。\n但這一次則相反，我們將逆向追蹤阿爾哈的氣息，直接攻入阿爾哈。,,
,1,10,꿈의 세계 월드맵,누리,Nuri,諾莉,웃음,그거 희소식이네요! 드디어 이 끝도 없는 싸움을 멈출 수 있겠군요!,That sounds good! Maybe we can finish this fight!,這真是個好消息！終於能夠結束這場無止境的戰鬥了！,,
