구분,시나리오 넘버,대사 넘버,배경,캐릭터 한글,캐릭터 영문,캐릭터 번자,표정,대사 한글,대사 영문,대사 번자,연출 종류,사운드,INDEX,CODE
,80,1,증명의 탑,드래곤 슬레이어,Dragon Slayer,屠龍者,변신,빨리 좀 와라.,Welcome,快來啊。,,,,
,80,2,증명의 탑,주인공,Player,Player,,"아니나다를까, 50층에서 우릴 기다리던건 드래곤 슬레이어였다.",Dragon slayer was waiting for us on the 50th floor.,果然不出所料，等候我們的竟然是屠龍者，在50層那裡。,,,,
,80,3,증명의 탑,렉스톤,Rexton,雷克斯頓,변신,좋아! 삐뚤어져도 힘은 쌘 놈이 왔군! 꽤 도움이 되겠어!,Good! Bad but strong arm is here! That would be helpful!,好！即使有些歪曲，終究是個強力的傢伙來了！這可真是個不錯的幫手！,,,,
,80,4,증명의 탑,드래곤 슬레이어,Dragon Slayer,屠龍者,변신,"저놈은 볼 때마다 막말이 느는군. 아무튼 여기 위, 꼭대기에 뭔가 거대한 놈이 왔던데. 뭐하는 놈이냐.","I hate him. Anyway, there's something big at the top. Who is he?",那傢伙每次見面都越來越嘴硬。不過，聽說頂端有個巨大怪物來了。那是什麼東西？,,,,
,80,5,증명의 탑,주인공,Player,Player,,파멸의 드래곤 '엔더 드래곤'이야. 카데스의 날개 중 한장으로 만들어졌다는데.,"It's the dragon of doom, Ender Dragon. It's made of one of the wings of Kades.",那是「毀滅龍」——終焰龍。聽說牠是由卡德斯的翅膀之一所創造的。,,,,
,80,6,증명의 탑,드래곤 슬레이어,Dragon Slayer,屠龍者,변신,"호오, 그건 또 재미있는 놈이군.","Oh, that's interesting.",哦？那可真是個有趣的傢伙啊。,,,,
,80,7,증명의 탑,고대신룡,God Dragon,古代神龍,변신,만만치 않은 적이다. 너도 빨리 합세해.,He is a formidable enemy. You should join us.,這可不簡單的對手。你也快加入吧！,,,,
,80,8,증명의 탑,드래곤 슬레이어,Dragon Slayer,屠龍者,변신,좋지 좋아. 나 말고 '파멸'이란 이름을 쓰는 놈이 있을줄은 몰랐군. 어디 한번 겨뤄볼까.,That's great. I didn't expect anyone would use that nickname other than me. Let's see.,這倒是沒想到，居然有個叫「毀滅」的傢伙。好啊，那就來一場好好較量一下吧！,,,,
,80,9,증명의 탑,주인공,Player,Player,,"드래곤 슬레이어가 씨익 웃었다. 끔찍한 웃음이었지만, 지금 이순간만큼은 든든한 웃음이었다.","Dragon slayer grinned. It was a terrible, but as far as this moment, it felt secure to me.",屠龍者露出了詭異的笑容。那笑容令人毛骨悚然，但此刻，卻也讓人感到無比安心。,,,,
,,,,퀘스트,퀘스트,퀘스트,,증명의 탑 51층에 도달하자(증명의 탑에 퀘스트 표시),Reach to 51th floor of the tower of proof.,達到證明之塔51層（證明之塔顯示任務）,,,,
,81,11,증명의 탑,주인공,Player,Player,,엔더 드래곤은 증명의 탑 꼭대기에서 하늘을 바라보고 있었다. 우릴 발견했음에도 꼼짝도 하지 않은 채로 말이다.,Ender dragon looking up the sky at the top to the tower. Even though he saw us.,終焰龍正站在證明之塔的頂端，凝視著天空。即使發現了我們的存在，牠依然一動不動。,,,,
,81,11,증명의 탑,렉스톤,Rexton,雷克斯頓,변신,저러고만 있어도 갑자기 아르하가 쾅 하고 터지는건가?,Is he demolishing Archa with that condition?,牠就這樣靜靜地站著，難道阿爾哈會突然間轟然崩塌嗎？,,,,
,81,10,증명의 탑,포폰,Popon,波彭,,"그, 그럴리가! 뭔가 힘을 모으고 있는거겠지?",He may be conctrating.,對，應該是正在積聚力量吧！牠不會只是靜止著而已，肯定有什麼大動作在準備中。,,,,
,81,14,증명의 탑,제피로스,Zephyros,澤費羅斯,,그런 것치고는 우릴 너무 신경 안쓰는데.,He doesn't care too much about us for that.,確實，牠似乎對我們毫不在意。這樣的態度倒讓人更加不安，可能是它有更大的計劃在進行。,,,,
,81,15,증명의 탑,주인공,Player,Player,,"적이 너무 얌전한데, 라는 생각을 한 순간 갑자기 한줄기 보랏빛 섬광이 우릴 가로질러 엔더 드래곤에게 내리꽂혔다. 거대한 폭발과 먼지가 피어올랐다.","At the moment, a purple flash of light flew across us to Ender Dragon. Huge explosions and dust rose.",就在我心裡想著「敵人怎麼這麼安靜」的瞬間，突然一條紫色的閃光橫穿我們，直擊終焰龍。隨後是一陣巨大的爆炸聲和煙塵四起。,,,,
,81,16,증명의 탑,드래곤 슬레이어,Dragon Slayer,屠龍者,변신,뭘 보고만 있어? 왔으면 싸워야지.,What are you waiting for? We have to fight.,你還在看著什麼？既然來了，就該開始戰鬥了！,,,,
,81,17,증명의 탑,주인공,Player,Player,,좀 보고 싸우자! 이쪽도 전략을 준비한다던가 나름의 준비를 해야지!,Wait! We should prepare strategy or whatever!,先看看再打！我們也得準備一下，制定策略，總不能憑空衝上去吧！,,,,
