,시나리오 넘버,대사 넘버,배경,캐릭터 한글,캐릭터 영문,캐릭터 번자,표정,대사 한글,대사 영문,대사 번자,액션 번호,사운드
,1,1,시즌6컷신0,,,,0,...,...,...,1,BGM/Sky_mine.mp3
,1,2,까만 배경,주인공,Player,Player,0,여긴 어디지?,Where am I?,這是哪裡?,,
,1,3,시즌6컷신1,???,???,???,73,....,...,...,1,
,1,4,시즌6컷신1,???,???,???,73,더 이상 두고 볼 순 없어.,I can't wait. anymore,我再也無法袖手旁觀了。,,
,1,5,시즌6컷신1,주인공,Player,Player,0,뭐라고...?,What?,你說甚麼?,,
,1,6,시즌6컷신1,???,???,???,73,모든 생명들은 사라질 테고... 세상은 파멸하겠지.,All life will be gone and the world will be doomed.,所有生命將消失……這個世界將會被毀滅的。,,
,1,7,시즌6컷신1,???,???,???,73,나에게서 비롯된 것이니 내 손으로 끝내야 해!,I'm the cause. I have to finish this!,既然是從我這裡開始的，那麼就必須由我親手結束！,,
,1,8,시즌6컷신1,주인공,Player,Player,0,당신! 대체 뭐야? 여긴 또 뭐고!,You! What the..? Where am I?!,你！到底是什麼人？這又是什麼地方！,,
,1,9,시즌6컷신1,,,,0,검은 로브를 입은 자는 내가 하는 말이 들리지 않는 듯 주문을 외우기 시작했다.,The man in black robe began to chant the spell as if he could not hear me.,穿著黑色長袍的人似乎聽不見我的話，開始低聲念起了咒語。,11,
,1,10,시즌6컷신2,,,,0,!!!!,!!!,!!!!,7,
,1,11,시즌6컷신2,주인공,Player,Player,0,으... 으아아아아악!,(yipe),啊…啊啊啊啊啊！,13,
,1,12,하얀 배경,,,,0,....,....,......,,stop
,1,13,하얀 배경,???,???,???,73,일어나... 일어나 (주인공).,Hey! Wake up! (주인공),醒醒... 快醒醒啊，(주인공)。,,
,1,14,마을 배경,누리,Nuri,諾莉,4,일어나라고! 그만 낮잠 자고!,Stop snoozing and wake up!,醒來啊！別再打瞌睡了！,4,the_deep.mp3
,1,15,마을 배경,주인공,Player,Player,0,"뭐, 뭐야? 누리? 꿈이었나?",Wh..what? Nuri? Was it a dream?,什麼，怎麼了？諾莉？難道這只是一場夢？,,
,1,16,마을 배경,누리,Nuri,諾莉,4,침공을 막아낸 게 얼마나 됐다고 벌써 이렇게 늘어져 있는 거야?\n그러면 안 돼!,"It hasn't been long since you stopped the invasion, and you've already become so lazy?\nYou don't do that!",抵擋住侵略才過了多久，怎麼已經這麼懶散了？\n不能這樣！,,
,1,17,마을 배경,즈믄,Zimon,茲門,6,본인이 더 많이 자면서 누가 누굴 가르치는 거야?,"You sleep more than I do, are you trying to teach me?",自己睡得比誰都多，怎麼還敢教人呢？,,
,1,18,마을 배경,누리,Nuri,諾莉,4,미녀는 잠꾸러기인 거 몰라?,Don't you know beauty is a sleepyhead?,難道你不知道美女都是睡神嗎？,,
,1,19,마을 배경,즈믄,Zimon,茲門,6,응? 미녀가 어딨어?,Hmm? Where is the beauty?,嗯？哪裡有美女呢？,,
,1,20,마을 배경,누리,Nuri,諾莉,2,"흥. 아무튼 (주인공), 하늘 왕국에서 지부장님이 \n우릴 기다리고 계셔.","By the way, (주인공), the manager is waiting for us in the Sky Realm.",哼，總之，(주인공)，支部長在蒼天帝國等我們。,,
,1,21,마을 배경,누리,Nuri,諾莉,2,그러니 우리 함께 가보자.,Let's go! Hurry up!,那我們一起去吧。,,
,2,1,왕궁별채 배경,지부장,Ellis Finnell,艾莉絲·皮內爾,66,"오랜만이에요, 여러분.","Good to see you again, tamers.",好久不見，大家。,,BGM/Sky_Chamber.mp3
,2,2,왕궁별채 배경,누리,Nuri,諾莉,3,오랜만이에요 지부장님. 잘 지내셨어요?,Nice to meet you! How about you?,好久不見，支部長！您過得如何？,,
,2,3,왕궁별채 배경,지부장,Ellis Finnell,艾莉絲·皮內爾,67,전 많은 일이 일어나 바쁘게 지내고 있습니다.,"Unlike you guys, a lot of things have happened, making me busy.",我這段時間發生了很多事，過得很忙碌。,,
,2,4,왕궁별채 배경,지부장,Ellis Finnell,艾莉絲·皮內爾,67,이렇게 늦은 걸 보니 여러분은 편. 하. 게 \n지. 내. 고 있었나보군요?,"Seeing that you're so late, \nI guess you've been having a good time, haven't you?",看你們這麼晚來，這陣子是不是很輕鬆度過啊？,,
,2,5,왕궁별채 배경,누리,Nuri,諾莉,3,"저... 저희도 얼마나 바빴는데요~! 그치, 즈믄?","We've been very busy, too! Really! Right?",哪...哪有啦，我們也是大忙人好嗎! 對不對，吉蒙?,,
,2,6,왕궁별채 배경,즈믄,Zimon,茲門,6,"그치, 잠을 얼마나 자던지...","Yeah, you've been so busy sleeping.",對啊，不知道睡了多少覺啊……,,
,2,7,왕궁별채 배경,지부장,Ellis Finnell,艾莉絲·皮內爾,66,그보다 여러분들에게 소개해 줄 분들이 있어 이 자리로 불렀습니다.,"By the way, I'm here to introduce you to someone.",話說，我有一些人想介紹給你們，所以特地把他們請到這裡來了。,,
,2,8,왕궁별채 배경,누리,Nuri,諾莉,2,소개요?,Introduction?,介紹？,,
,2,9,왕궁별채 배경,베로니카,Veronica,貝羅尼卡,94,처음 뵙겠습니다. 신성 바이델 왕국에서 온 빛의 사제 베로니카라고 해요.,"It's a great pleasure to meet you. I'm Veronica, the priestess of light from the Holy Videl Kingdom.",初次見面，我是來自神聖拜德爾王國的光之祭司，貝羅妮卡。,,
,2,10,왕궁별채 배경,요셉,Joseph,約瑟,98,전 사제님을 보필하는 요셉입니다.,"I'm Joseph, her assistant.",我是輔佐祭司大人的約瑟。,,
,2,11,왕궁별채 배경,누리,Nuri,諾莉,3,"안녕하세요, 전 누리에요. 만나서 반갑습니다~!","Hello, My name is Nuri. It's pleasure to meet you!",你好，我是諾莉，很高興見到你~！,,
,2,12,왕궁별채 배경,즈믄,Zimon,茲門,6,쯧쯧... 잘생긴 사람만 보면 꼭 저리 밝다니까~,She always acts bright when she sees a handsome man.,啧啧...看到帥哥就這麼開朗啊~,,
,2,13,왕궁별채 배경,누리,Nuri,諾莉,3,처음 보는데 밝게 인사하는 게 예의 아니겠어? 호호호~,It's polite to say hello to someone you're seeing for the first time. Isn't it?,是初次見面诶，開朗地打招呼不是很有禮貌嗎？呵呵呵~,,
,2,14,왕궁별채 배경,누리,Nuri,諾莉,4,(남은 껍질도 다 벗겨내기 전에 조용히 해…),"(Shut up, or I'll peel off the rest of the skin.)",（在剩下的外殼還沒完全剝掉之前，安靜點……）,,
,2,15,왕궁별채 배경,지부장,Ellis Finnell,艾莉絲·皮內爾,66,인사는 이 정도로 하고 이분들이 저희를 찾아온 이유를 알려드리죠. 디트!,That's it. Let me tell you why they came to see us. Deet!,打個招呼就差不多了，接下來我來告訴你們他們來找我們的原因。迪特！,,
,2,16,왕궁별채 배경,디트,Deet,迪特,74,흠흠.. 일단 그동안 어떤 일이 있었는지부터 말하는 게 좋겠군.,"Well, I'd better start by telling you what's been going on.",嗯嗯…還是先說一下這段時間發生了什麼事比較好。,,
,2,17,왕궁별채 배경,디트,Deet,迪特,74,난 침공을 막아낸 이후 아르하의 기운을 연구하기 시작했어.,I started studying the energy of Archaafter stopped the invasion.,我在抵擋住侵略後，開始研究阿爾哈的氣息。,,
,2,18,왕궁별채 배경,디트,Deet,迪特,74,그 속에서 어떤 마력 조각을 발견했지.,And I found a piece of mana in it.,在其中，我發現了一塊魔力碎片。,,
,2,19,왕궁별채 배경,디트,Deet,迪特,74,그런데 나는 이 조각에 대해 아무것도 알아내지 못했어.,But I didn't find out anything about this piece.,但是，我在這塊碎片中根本沒察覺到任何東西。,,
,2,20,왕궁별채 배경,디트,Deet,迪特,74,그래서 마법 분석이 뛰어난 신성 바이델왕국에\n도움을 요청해서 두 분이 오게 된 거야.,"That's why I asked for help, and they two came from the Holy Videl Kingdom, where magic analysis is excellent.",我向擁有出色魔法分析能力的神聖拜德爾王國請求幫助\n於是你們兩位才會來到這裡。,,
,2,21,왕궁별채 배경,베로니카,Veronica,貝羅尼卡,94,사실 이 조각에 대한 조사는 예전부터 진행되고 있어요.,"In fact, research on this piece has been going on for a long time.",其實對這塊碎片的調查從以前就已經開始進行了。,,
,2,22,왕궁별채 배경,요셉,Joseph,約瑟,98,이 마력 조각은 세계 곳곳에서 일어난 일들과 연관이 있습니다.,This piece of mana is related to cases that have happened all over the world.,這塊魔力碎片與世界各地發生的事件有關聯。,,
,2,23,왕궁별채 배경,누리,Nuri,諾莉,2,일어난 일들이라면 어떤 건가요?,What kind of cases are you talking about?,您說的事件指的是哪些呢？,,
