구분,시나리오 넘버,대사 넘버,배경,캐릭터 한글,캐릭터 영문,캐릭터 번자,표정,대사 한글,대사 영문,대사 번자,연출 종류,사운드
,10,1,던전 지역 배경,,,,0,고룡의 무덤에서 어떠한 것도 찾을 수 없었다.,We couldn't find anything at Bone Yard.,在古龍的墓地中，什麼也沒能找到。,,
,10,2,던전 지역 배경,누리,Nuri,諾莉,3,검은로브랑 고대드래곤이 없네?,There's no black robe or ancient dragon.,黑袍和古代神龍都不見了？,,
,10,3,던전 지역 배경,즈믄,Zimon,茲門,6,방심하지마. 어딘가에서 갑자기 나타날수도 있어.,Stay focused. They could show up.,別掉以輕心。它們搞不好會突然出現。,,
,10,4,던전 지역 배경,주인공,Player,Player,0,혹시 모르니까 설치 못한 센서장치를 설치하자.,Let's install the sensor just in case.,為了以防萬一，還是裝一下沒裝上去的感應裝置吧。,,
,11,1,던전 지역 배경,,,,0,고룡의 무덤에 센서 장치를 설치하고 작동시켰다.,We installed and activated the sensor.,我們在古龍的墓地安裝了感應裝置並啟動了它。,,
,11,2,던전 지역 배경,누리,Nuri,諾莉,2,음…..,Um...,恩....,,
,11,3,던전 지역 배경,주인공,Player,Player,0,무슨 일 있어?,Is there something wrong?,有甚麼事嗎?,,
,11,4,던전 지역 배경,누리,Nuri,諾莉,2,문득 든 생각인데 검은로브의 사도들은 제사를 지내거나 의식을 치른다고 했잖아?,"I just thought, pristess said that black robes hold rituals, right?",我突然想到，黑袍的使徒們不是會舉行祭祀或儀式嗎？,,
,11,5,던전 지역 배경,주인공,Player,Player,0,"맞아, 그랬지.","Yeah, that's what they said.",诶，對诶。,,
,11,6,던전 지역 배경,누리,Nuri,諾莉,2,그러면 이쪽이 아니라 제단이 있는 곳 부터 찾아보는건 어때?,"Then why don't we look for the altar first, not hear?",那麼，不如從有祭壇的地方開始找找看怎麼樣？,,
,11,7,던전 지역 배경,즈믄,Zimon,茲門,6,에엑? 말도 안돼…,Huh? That's ridiculous.,欸？你怎麼…,,
,11,8,던전 지역 배경,누리,Nuri,諾莉,2,응? 뭐가 말이 안되는거야?,What? What's ridiculous?,嗯？有什麼不合理的嗎？,,
,11,9,던전 지역 배경,즈믄,Zimon,茲門,6,"아니, 너의 머리에서 어떻게 그런 생각을..",How could you think of that in your head?,怎麼會從你的腦袋裡想到這種點子…？,,
,11,10,던전 지역 배경,즈믄,Zimon,茲門,7,누리 너도 점점 성장을 하는구나!,"Nuri, you're growing up!",諾莉，你也在不斷成長啊！,,
,11,11,던전 지역 배경,누리,Nuri,諾莉,4,이 성장판 닫힌 드래곤이 뭐라는거야!,"What are you talking about, you cheeky little dragon?",你這停止成長的龍到底在胡說甚麼?,,
,11,12,던전 지역 배경,,,,0,갑자기 투닥거리며 싸우는 누리와 즈믄.,Nuri and Zimon suddenly quarreling.,突然開始互相爭吵的諾莉和吉蒙。,,
,11,13,던전 지역 배경,,,,0,고대 드래곤이 보이지 않자 누리의 긴장이 풀린 것 같다.,Nuri seems to have relaxed because the ancient dragon didn't show up.,看不到古代神龍，似乎讓諾莉的緊張感放鬆了。,,
,11,14,던전 지역 배경,,,,0,분명 즈믄은 이를 놓치지 않고 장난을 친 것이다.,"In my opinion, Zimon didn't miss this timing",一定是吉蒙沒放過這個機會，開始開玩笑了。,,
,11,15,던전 지역 배경,주인공,Player,Player,0,그만 그만. 일단 어둠의 제단으로 가자.,Stop stop . Let's go to the Dark Altar.,夠了夠了，先去黑暗的祭壇吧。,,
,12,1,던전 지역 배경,,,,0,몬스터들이 어떤 의식을 치르고 있는 걸 목격했다.,We saw the monsters performing some rituals.,我們目擊到怪物們正在進行某種儀式。,,
,12,2,던전 지역 배경,누리,Nuri,諾莉,2,몬스터들이 의식을 치르는 건 처음 보는데..?,I've never seen monsters perform a ritual before.,第一次看到怪物們在進行儀式呢？,,
,12,3,던전 지역 배경,즈믄,Zimon,茲門,6,뭔가 불길한데...,Something's ominous.,感覺有點不祥…,,
