﻿TID,KR,EN,TW,JP
ARCHA_SCENARIO1_0,"언제나 다름없는 평화로운 날이었다. 그리고 이런 상황에서 도착한 갑작스러운 소식은, 대게 평화를 깨트리기 마련이다.",It was a sameday like yesterday. But something breaks,這是一個與往常無異的日子。而在這種情況下突然傳來的消息，往往會打破這份平靜。,
ARCHA_SCENARIO1_1,"안녕하세요, %s. 반갑습니다.",Hello %s. Nice to meet you,您好，%s。很高興見到您。,
ARCHA_SCENARIO1_2,"아, 예, 반갑습니다. 죄송하지만 누구...?",um… Have we met before?,啊，是的，很高興見到您。但請問您是？,
ARCHA_SCENARIO1_3,이 바보야! 테이머 협회의 지부장님이시잖아!,Hey! She is manager of tamer association!,這個笨蛋！他是馴獸師協會的支部長啊！,
ARCHA_SCENARIO1_4,정확히는 엘피스 지부의 지부장님이시지. 협회에 드래곤 테이머 등록할 때 뵈었잖아.,"To be exact, manager of Elpis branch. You saw her at the branch when you sign in",正確來說，是艾爾匹斯支部的會長。當初我在協會註冊成為龍馴獸師時，曾見過您呢。,
ARCHA_SCENARIO1_5,어? 나 등록을 했었나?,For real? Did I??,欸？我有註冊過嗎？,
ARCHA_SCENARIO1_6,니가 처음에 아무것도 몰라서 우물쭈물대길래 내가 대신 했지 답답아.,I did it for you when you are a novice and didn't know anything.,因為你一開始猶豫不決的什麼都不知道，所以我不是幫你代辦了嗎，真是的。,
ARCHA_SCENARIO1_7,......난 몰랐는데. 말도 안하고 등록을 해버린거야?,I don't know… Did you do it for me without telling me?,……我都不知道呢。怎麼不跟我說一聲就直接註冊了啊？,
ARCHA_SCENARIO1_8,"나, 나도 말 하려고 했어! 까먹은 것 뿐이야!",I…I tried to! But I just forgot it,我、我原本也打算跟你說啊！只是忘記了而已！,
ARCHA_SCENARIO1_9,너 정말...!,You really…!,你真是的...！,
ARCHA_SCENARIO1_10,음... 일단 이쪽 사정이 급해서 그런데 용건부터 전달해도 될까요?,Well. Sorry to bothering you. But can we start talk?,嗯...不好意思因為這邊的是有點急，可以先讓我告訴您該處裡的事嗎？,
ARCHA_SCENARIO1_11,"아, 예 말씀하시죠. 니들 지부장님이 직접 오셨는데 바보같은 짓 좀 하지 마!",Go ahead. Hey you! Be quiet and listen to her!,啊，請說吧。支部長都親自來了，拜託你們別再做這種蠢事了好嗎！,
ARCHA_SCENARIO1_12,사태가 많이 급합니다. 여기 계신 분들은 모두 '꿈의 세계'의 존재는 알고 계시겠죠.,"It's worse than we thought, I believe you guys know about World of dream",事態非常緊急。這裡的各位應該都知道「夢境世界」的存在吧。,
ARCHA_SCENARIO1_13,어? 지부장님이 그걸 어떻게 아시죠?,How? How do you know that?,欸？支部長怎麼知道這些呢？,
