TID,KR,EN,TW,JP
2020_SPIRIT_123_CONFIRM,황금 다이아 %d개를 사용해\n모든 정령 귀속을 해제 합니다.\n[현재 보유량 : %d개],Use %d Gold-dias to\nliberate all spirits.\n[Current : %d],使用黃金鑽石 %d 顆來\n解除所有精靈的綁定。\n[目前持有量：%d 顆],
2020_SPIRIT_123_EVENT,이벤트 기간 : 1/1 [00:00 ~ 23:59],EVENT SCHEDULE : 1/Jan [00:00 ~ 23:59],活動期間：1/1 [00:00 ~ 23:59],
ABNORMAL_ACCESS_LOGOUT,비정상적인 접근이 감지되어 로그아웃되었습니다.,Abnormal access detected and logged out.,检测到异常访问，已登出。,
accept,수락하기,Accept,確認,
accFullCommentMsg,탈 부착 아이템의 보유 갯수가\n최대 수치(%d)에 도달 했습니다.\n사용하지 않는 아이템은 상점에 판매해 주시기 바랍니다.,Item reached max amount(%d)\nPlease sell unused items at the shop.,你保留的物品數已達到\n上限（100）。\n請您把不再使用的物品出售。,
accItemSellMsg,<lightbrown>%s</lightbrown> 아이템을 <lightbrown>%d골드에</lightbrown> 판매하시겠습니까?,Sell <lightbrown>%s</lightbrown> item with <lightbrown>%d gold</lightbrown>?,您要把<lightbrown>%s</lightbrown> 物品以<lightbrown>%d金幣</lightbrown> 出售嗎？,
accPlus,%s +%.1f%%,%s +%.1f%%,%s +%.1f%%,
add,요청하기,Add,請求,
addDragon,용 보유 수 추가,Have More Dragon,提升可保留神龍數量的上限,
adEmpty,무료 보상을 다 받았습니다.,There is no free reward.,已領取所有免費獎勵。,
adsMovieReward,무료 보상을 받으시겠습니까?\n다음 보상 중 1개 지급 (1일 최대 3회),You can get one of rewards for free!\n(3 times a day maximum),是否要領取免費獎勵？\n可從以下獎勵中獲得1個（每日最多3次）,
adsMovieRewardDia,무료 다이아 보상 지급!,You get the Diamond reward!,獲得免費鑽石獎勵！,
adsMovieRewardItem,무료 보상 <red>%s</red> 지급!,Rewarded <red>%s</red>!,獲得免費獎勵 <red>%s</red>！,
ADVENTURE_AUTO_DRAGON_LIST,자동 탐험 드래곤,Auto Dragons,自動探索龍,
ADVENTURE_AUTO_MONSTER,등장 몬스터,Monster,怪獸登場,
ADVENTURE_AUTO_SETTING_0,- 레벨업 시 자동 종료,- Quit when Lv up,升級時自動結束,
ADVENTURE_AUTO_SETTING_1,- Lv -1 자동 사용,- Auto Lv -1,Lv -1 自動使用,
ADVENTURE_AUTO_SETTING_2,- 드래곤 먹이 자동 사용,- Auto feed,龍餌自動使用,
ADVENTURE_AUTO_SETTING_3,- 치료제 자동 사용,- Auto heal,治療藥自動使用,
